,Bar Name,Url,Area,Address,Cuisine,Number of Reviews,Rating,Telephone,Website
0,The Ritz Bar &amp; Lounge,https://www.tripadvisor.com/Restaurant_Review-g308272-d11676778-Reviews-The_Ritz_Bar_Lounge-Shanghai.html,Jing'an,"No.1376, Nanjing West Road, Jing'an District Portman Ritz-Carlton Shanghai, Shanghai 200040 China","Bar, Pub",61,4.5,+86 21 6279 8888,http://www.ritzcarlton.com/en/hotels/china/shanghai/dining/the-ritz-bar-loung
1,Blue Frog (Daning),https://www.tripadvisor.com/Restaurant_Review-g308272-d2544147-Reviews-Blue_Frog_Daning-Shanghai.html,Jing'an,"1918 Gong He Xin Road, Daning Life Hub, 102A-103A, Block 6, Shanghai China","American, Bar",118,4.0,+86 21 6631 3920,http://www.bluefrog.com.cn/hom
2,Zapfler Craft Beer Brewery,https://www.tripadvisor.com/Restaurant_Review-g308272-d8444760-Reviews-Zapfler_Craft_Beer_Brewery-Shanghai.html,Luwan,"No.158 Julu Road, Xuhui District Found 158, Shanghai China","German, Bar, Pub, Brew Pub, European",69,4.5,+86 21 5386 2337,http://zapfler-craft-beer.com
3,Kartel Wine Bar,https://www.tripadvisor.com/Restaurant_Review-g308272-d4713210-Reviews-Kartel_Wine_Bar-Shanghai.html,Former French Concession,"North Xiang Yang Rd 5-6/F, No. 1 North Xiang Yang Rd, Jing'an District, Shanghai, China, Shanghai 200042 China","Bar, Wine Bar, International, Pub",94,4.0,+86 21 5404 2899,http://www.kartel-shanghai.co
4,CAGES Bar and Sports,https://www.tripadvisor.com/Restaurant_Review-g308272-d8133799-Reviews-CAGES_Bar_and_Sports-Shanghai.html,Jing'an,"3F No. 428 Jiangning Rd Near Wuding Rd, Jing'an Sports Centre, Shanghai 200041 China","American, Asian, Bar",73,4.5,+86 21 3112 2950,http://www.cages.c
5,Zapata's Shanghai,https://www.tripadvisor.com/Restaurant_Review-g308272-d1828779-Reviews-Zapata_s_Shanghai-Shanghai.html,Dongping,"No.11 Dongping Road near Hengshan Road, Shanghai 200031 China","Mexican, Bar, Pub, Grill",149,4.0,+86 21 6433 4104,http://www.zapatas-shanghai.co
6,Stone Brewing Tap Room,https://www.tripadvisor.com/Restaurant_Review-g308272-d15239610-Reviews-Stone_Brewing_Tap_Room-Shanghai.html,Changning,"No.1107 Yuyuan Road, Changning District 1/F, Building 1, Hongji Chuangyi International Park, Shanghai China","American, Bar, Brew Pub, International, European, Pub, Gastropub",26,4.5,+86 21 6226 2510,http://www.stonebrewing.com/visit/outposts/shangha
7,XiErDun XingZheng JiuLang,https://www.tripadvisor.com/Restaurant_Review-g308272-d3465833-Reviews-XiErDun_XingZheng_JiuLang-Shanghai.html,Jing'an,"HuaShan Road 250, XiErDun Hotel 37 Floor, Shanghai China",Bar,39,4.5,+86 21 6248 0000,NaN
8,Yu Bar (Renaissance Shanghai Yu Garden Hotel),https://www.tripadvisor.com/Restaurant_Review-g308272-d7224423-Reviews-Yu_Bar_Renaissance_Shanghai_Yu_Garden_Hotel-Shanghai.html,Xiaodongmen,"4/F, Renaissance Shanghai Yu Garden Hotel, No.159 South He'nan Road, Huangpu District, Shanghai 200010 China","Bar, Pub, European",23,4.5,+86 21 2321 8888,NaN
9,C.C. Bar,https://www.tripadvisor.com/Restaurant_Review-g308272-d1179556-Reviews-C_C_Bar-Shanghai.html,Changning,"2099 Yan An Xi Road, Shanghai China","Bar, Pub",20,5.0,+86 21 6275 0000,NaN
10,Wolfgang Puck Bar &amp; Grill,https://www.tripadvisor.com/Restaurant_Review-g308272-d8616571-Reviews-Wolfgang_Puck_Bar_Grill-Shanghai.html,Xintiandi,"No.16 Lane 181 Taicang Road, Xintiandi North Li, Luwan District, Shanghai China","American, Italian, Bar, Pizza, European",147,3.5,+86 21 6333 7357,http://www.wolfgangpuck.co
11,Blue Frog (Tianyaoqiao Road),https://www.tripadvisor.com/Restaurant_Review-g308272-d3391618-Reviews-Blue_Frog_Tianyaoqiao_Road-Shanghai.html,Xuhui1.5 miles from Riverside Promenade (Bingjiang Da Dao),"B1, Yongxin Plaza, No.131 Tianyaoqiao Road, Shanghai 200000 China","American, Bar, Pub",41,4.0,+86 21 3368 6117,http://eatinshanghai.com/restaurants/22-blue-fro
12,Captain Bar,https://www.tripadvisor.com/Restaurant_Review-g308272-d14004155-Reviews-Captain_Bar-Shanghai.html,Fuzhou Lu (Fuzhou Road)0.4 miles from The Bund (Wai Tan),"No.37 Fuzhou Road, Huangpu District, Shanghai 200002 China",Bar,26,4.0,+86 21 6323 5053,http://www.facebook.com/TheCaptainSpeakeas
